"ITAG","cluster","AGI","gene_name"
"Solyc00g005040",11,"AT5G46240","potassium channel protein (KAT1)"
"Solyc00g005092",12,NA,NA
"Solyc00g005098",12,NA,NA
"Solyc00g005445",12,NA,NA
"Solyc00g005890",17,NA,NA
"Solyc00g005907",12,NA,NA
"Solyc00g006490",2,"AT1G07990","SIT4 phosphatase-associated family protein; similar to SIT4 phosphatase-associated family protein [Arabidopsis thaliana] (TAIR:AT2G28360.1); similar to SIT4 phosphatase-associated family protein [Arabidopsis thaliana] (TAIR:AT3G45190.1); similar to SIT4 phosphatase-associated family protein [Arabidopsis thaliana] (TAIR:AT1G30470.1); similar to Os05g0592500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056496.1); similar to H0714H04.7 [Oryza sativa (indica cultivar-group)] (GB:CAH66980.1); similar to OSJNBa0058K23.19 [Oryza sativa (japonica cultivar-group)] (GB:CAD41753.2); contains InterPro domain SIT4 phosphatase-associated protein; (InterPro:IPR007587); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989)"
"Solyc00g006568",12,NA,NA
"Solyc00g006595",2,NA,NA
"Solyc00g006655",5,NA,NA
"Solyc00g006680",1,NA,NA
"Solyc00g006687",12,NA,NA
"Solyc00g006867",26,NA,NA
"Solyc00g006903",18,NA,NA
"Solyc00g007150",20,NA,NA
"Solyc00g007160",5,NA,NA
"Solyc00g007200",31,"AT2G17480","A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s)."
"Solyc00g007220",2,NA,NA
"Solyc00g007260",2,NA,NA
"Solyc00g007300",32,NA,NA
"Solyc00g008000",5,NA,NA
"Solyc00g008055",4,NA,NA
"Solyc00g008165",4,NA,NA
"Solyc00g008570",1,NA,NA
"Solyc00g008580",1,NA,NA
"Solyc00g008800",1,NA,NA
"Solyc00g008910",1,NA,NA
"Solyc00g008915",4,NA,NA
"Solyc00g009030",1,NA,NA
"Solyc00g009040",1,"AT1G71770","Encodes a Class I polyA-binding protein. Expressed in floral organs. Binds polyA sepharose in vitro."
"Solyc00g009050",1,NA,NA
"Solyc00g009060",2,"AT1G71750","phosphoribosyltransferase family protein; similar to Hypoxanthine phosphoribosyl transferase [Desulfotomaculum reducens MI-1] (GB:ZP_01148584.1); contains InterPro domain Hypoxanthine phosphoribosyl transferase; (InterPro:IPR005904); contains InterPro domain Phosphoribosyltransferase; (InterPro:IPR000836); contains InterPro domain Purine/pyrimidine phosphoribosyl transferase; (InterPro:IPR002375)"
"Solyc00g009070",1,NA,NA
