Solyc01g010970,10,AGO7,"Encodes ARGONAUTE7, a member of the ARGONAUTE family, characterised by the presence of PAZ and PIWI domains. Involved in the regulation of developmental timing. Required for the accumulation of TAS3 ta-siRNAs but not for accumulation of miR171, miR173, miR390 or mi391.   Localized in mature rosette leaves and floral buds."
Solyc01g058030,10,ATGA2OX4,Encodes a gibberellin 2-oxidase. AtGA2OX4 expression is responsive to cytokinin and KNOX activities.
Solyc01g090660,10,ATCCD7,More Axillary Branching; carotenoid cleavage dioxygenases.
Solyc03g044300,10,AP2,"Encodes a floral homeotic gene, a member of the AP2/EREBP (ethylene responsive element binding protein) class of transcription factors and is involved in the specification of floral organ identity, establishment of floral meristem identity, suppression of floral meristem indeterminancy, and development of the ovule and seed coat. AP2 also has a role in controlling seed mass. Dominant negative allele I28, revealed a function in meristem maintenance-mutant meristems are smaller than normal siblings. AP2 appears to act on the WUS-CLV pathway in an AG independent manner."
Solyc06g065630,10,YUC4,Belongs to the YUC gene family.  Encodes a predicted flavin monooxygenase YUC4 involved in auxin biosynthesis and plant development.
Solyc08g079100,10,YAB3,"YABBY gene family member, likely has transcription factor activity, involved in specifying abaxial cell fate. Along with FIL, involved in patterning of the fruit. GUS reporter gene expression in seedlings is observed in the young leaves and as the leaf matures, expression is restricted to the abaxial tissues of leaves, expression is also observed on either side of the leaf margin in the younger tissues of leaf blades."
Solyc11g044320,10,ATTRB1,"ATTRB1/TRB1 (TELOMERE REPEAT BINDING FACTOR 1); DNA binding / transcription factor; similar to ATTRB2/TRB2 (TELOMERE REPEAT BINDING FACTOR 2), DNA binding / transcription factor [Arabidopsis thaliana] (TAIR:AT5G67580.2); similar to MYB transcription factor MYB55 [Glycine max] (GB:ABH02826.1); contains InterPro domain Homeodomain-related; (InterPro:IPR012287); contains InterPro domain Linker histone, N-terminal; (InterPro:IPR003216); contains InterPro domain Histone H1/H5; (InterPro:IPR005818); contains InterPro domain Homeodomain-like; (InterPro:IPR009057); contains InterPro domain Myb, DNA-binding; (InterPro:IPR001005); contains InterPro domain Winged helix repressor DNA-binding; (InterPro:IPR011991)"
Solyc02g062960,11,ATHB21,Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.
Solyc02g080260,11,PDF2,"Encodes a homeodomain protein that is expressed in the LI layer of the vegetative, floral and inflorescence meristems. Binds to the L1 box promoter element which is required in some proteins for L1 specific expression."
Solyc03g111650,11,EMB1006,EMB1006 (EMBRYO DEFECTIVE 1006); binding; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G02860.1); similar to Putative indole-3-acetate beta-glucosyltransferase [Oryza sativa (japonica cultivar-group)] (GB:AAM15782.1); similar to Os05g0294600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055108.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)
Solyc05g010660,11,MGP3,"DNA-directed RNA polymerase, mitochondrial (RPOMT); Identical to DNA-directed RNA polymerase 1, mitochondrial precursor (EC 2.7.7.6) (RPOT1) [Arabidopsis Thaliana] (GB:P92969;GB:O23698); similar to PDE319/SCA3 (PIGMENT DEFECTIVE 319, SCABRA 3), DNA binding / DNA-directed RNA polymerase [Arabidopsis thaliana] (TAIR:AT2G24120.1); similar to DNA-directed RNA polymerase (RPOT2) [Arabidopsis thaliana] (TAIR:AT5G15700.1); similar to phage-type RNA polymerase [Nicotiana tabacum] (GB:CAC82574.2); similar to DNA-directed RNA polymerase 1B, mitochondrial precursor (T7 bacteriophage-type single subunit RNA polymerase 1B) (NictaRpoT1-tom) (GB:Q8L6J5); similar to DNA-directed RNA polymerase 1, mitochondrial precursor (T7 bacteriophage-type single subunit RNA polymerase 1) (NsRpoT-A) (GB:Q93Y94); contains InterPro domain DNA-directed RNA polymerase, bacteriophage type; (InterPro:IPR002092)"
Solyc06g053840,11,ATAUX2-11,Auxin inducible protein similar to transcription factors.
Solyc06g065680,11,CYCA2;4,"CYCA2;4 (CYCLIN A2;4); cyclin-dependent protein kinase regulator; similar to CYCA2,3 (CYCLIN A2,3), cyclin-dependent protein kinase regulator [Arabidopsis thaliana] (TAIR:AT1G15570.1); similar to cyclin (GB:AAA51659.1); contains InterPro domain Cyclin, N-terminal; (InterPro:IPR006671); contains InterPro domain Cyclin-like; (InterPro:IPR011028); contains InterPro domain Cyclin-related; (InterPro:IPR013763); contains InterPro domain Cyclin, C-terminal; (InterPro:IPR004367); contains InterPro domain Cyclin; (InterPro:IPR006670)"
Solyc07g061720,11,ATGA2OX2,Encodes a gibberellin 2-oxidase. AtGA2OX2 expression is responsive to cytokinin and KNOX activities.
Solyc08g080120,11,IXR11,Encodes a homeodomain transcription factor of the Knotted family. May be involved in secondary cell wall biosynthesis.Mutants have moderately irregular xylem development
Solyc10g080880,11,ATPIN1,"Encodes a putative auxin efflux carrier involved in shoot and root development. It is involved in the maintenance of embryonic auxin gradients.  Loss of function severely affects organ initiation, pin1 mutants are characterised by an inflorescence meristem that does not initiate any flowers, resulting in the formation of a naked inflorescence stem.  PIN1 is involved in the determination of leaf shape by actively promoting development of leaf margin serrations.  In roots, the protein mainly resides at the basal end of the vascular cells, but weak signals can be detected in the epidermis and the cortex.  Expression levels and polarity of this auxin efflux carrier change during primordium development suggesting that cycles of auxin build-up and depletion accompany, and may direct, different stages of primordium development. PIN1 action on plant development does not strictly require function of PGP1 and PGP19 proteins."
